Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RFB","Fertilizers by Product","384","Côte d'Ivoire","5157","Agricultural Use","4030","Fertilizers n.e.c.","2017","2017","t","0","A","Official figure"
"RFB","Fertilizers by Product","384","Côte d'Ivoire","5157","Agricultural Use","4030","Fertilizers n.e.c.","2018","2018","t","0","A","Official figure"
"RFB","Fertilizers by Product","384","Côte d'Ivoire","5157","Agricultural Use","4030","Fertilizers n.e.c.","2019","2019","t","0","A","Official figure"
"RFB","Fertilizers by Product","384","Côte d'Ivoire","5157","Agricultural Use","4030","Fertilizers n.e.c.","2020","2020","t","0","A","Official figure"
"RFB","Fertilizers by Product","384","Côte d'Ivoire","5157","Agricultural Use","4008","Other nitrogenous fertilizers, n.e.c.","2017","2017","t","2891","A","Official figure"
"RFB","Fertilizers by Product","384","Côte d'Ivoire","5157","Agricultural Use","4008","Other nitrogenous fertilizers, n.e.c.","2018","2018","t","288","A","Official figure"
"RFB","Fertilizers by Product","384","Côte d'Ivoire","5157","Agricultural Use","4008","Other nitrogenous fertilizers, n.e.c.","2019","2019","t","1964","A","Official figure"
"RFB","Fertilizers by Product","384","Côte d'Ivoire","5157","Agricultural Use","4008","Other nitrogenous fertilizers, n.e.c.","2020","2020","t","617","A","Official figure"
"RFB","Fertilizers by Product","384","Côte d'Ivoire","5157","Agricultural Use","4008","Other nitrogenous fertilizers, n.e.c.","2021","2021","t","290","A","Official figure"
"RFB","Fertilizers by Product","384","Côte d'Ivoire","5157","Agricultural Use","4008","Other nitrogenous fertilizers, n.e.c.","2022","2022","t","75","A","Official figure"
"RFB","Fertilizers by Product","384","Côte d'Ivoire","5157","Agricultural Use","4008","Other nitrogenous fertilizers, n.e.c.","2023","2023","t","20","A","Official figure"
"RFB","Fertilizers by Product","384","Côte d'Ivoire","5157","Agricultural Use","4014","Other phosphatic fertilizers, n.e.c.","2017","2017","t","1","A","Official figure"
"RFB","Fertilizers by Product","384","Côte d'Ivoire","5157","Agricultural Use","4014","Other phosphatic fertilizers, n.e.c.","2018","2018","t","0","A","Official figure"
"RFB","Fertilizers by Product","384","Côte d'Ivoire","5157","Agricultural Use","4014","Other phosphatic fertilizers, n.e.c.","2019","2019","t","0","A","Official figure"
"RFB","Fertilizers by Product","384","Côte d'Ivoire","5157","Agricultural Use","4014","Other phosphatic fertilizers, n.e.c.","2020","2020","t","0","A","Official figure"
"RFB","Fertilizers by Product","384","Côte d'Ivoire","5157","Agricultural Use","4014","Other phosphatic fertilizers, n.e.c.","2021","2021","t","0","A","Official figure"
"RFB","Fertilizers by Product","384","Côte d'Ivoire","5157","Agricultural Use","4014","Other phosphatic fertilizers, n.e.c.","2022","2022","t","125","A","Official figure"
"RFB","Fertilizers by Product","384","Côte d'Ivoire","5157","Agricultural Use","4014","Other phosphatic fertilizers, n.e.c.","2023","2023","t","100","A","Official figure"
"RFB","Fertilizers by Product","384","Côte d'Ivoire","5157","Agricultural Use","4018","Other potassic fertilizers, n.e.c.","2017","2017","t","0","A","Official figure"
"RFB","Fertilizers by Product","384","Côte d'Ivoire","5157","Agricultural Use","4018","Other potassic fertilizers, n.e.c.","2018","2018","t","0","A","Official figure"
"RFB","Fertilizers by Product","384","Côte d'Ivoire","5157","Agricultural Use","4018","Other potassic fertilizers, n.e.c.","2019","2019","t","0","A","Official figure"
"RFB","Fertilizers by Product","384","Côte d'Ivoire","5157","Agricultural Use","4018","Other potassic fertilizers, n.e.c.","2020","2020","t","0","A","Official figure"
"RFB","Fertilizers by Product","384","Côte d'Ivoire","5157","Agricultural Use","4018","Other potassic fertilizers, n.e.c.","2021","2021","t","0","A","Official figure"
"RFB","Fertilizers by Product","384","Côte d'Ivoire","5157","Agricultural Use","4018","Other potassic fertilizers, n.e.c.","2022","2022","t","80","A","Official figure"
"RFB","Fertilizers by Product","288","Ghana","5157","Agricultural Use","4030","Fertilizers n.e.c.","2012","2012","t","32083","A","Official figure"
"RFB","Fertilizers by Product","288","Ghana","5157","Agricultural Use","4030","Fertilizers n.e.c.","2013","2013","t","23051","A","Official figure"
"RFB","Fertilizers by Product","288","Ghana","5157","Agricultural Use","4030","Fertilizers n.e.c.","2014","2014","t","15746","A","Official figure"
"RFB","Fertilizers by Product","288","Ghana","5157","Agricultural Use","4030","Fertilizers n.e.c.","2015","2015","t","0","A","Official figure"
"RFB","Fertilizers by Product","288","Ghana","5157","Agricultural Use","4030","Fertilizers n.e.c.","2016","2016","t","0","A","Official figure"
"RFB","Fertilizers by Product","288","Ghana","5157","Agricultural Use","4030","Fertilizers n.e.c.","2017","2017","t","0","A","Official figure"
"RFB","Fertilizers by Product","288","Ghana","5157","Agricultural Use","4030","Fertilizers n.e.c.","2018","2018","t","0","A","Official figure"
"RFB","Fertilizers by Product","288","Ghana","5157","Agricultural Use","4030","Fertilizers n.e.c.","2019","2019","t","0","A","Official figure"
"RFB","Fertilizers by Product","288","Ghana","5157","Agricultural Use","4030","Fertilizers n.e.c.","2020","2020","t","0","A","Official figure"
"RFB","Fertilizers by Product","288","Ghana","5157","Agricultural Use","4030","Fertilizers n.e.c.","2022","2022","t","0","A","Official figure"
"RFB","Fertilizers by Product","288","Ghana","5157","Agricultural Use","4008","Other nitrogenous fertilizers, n.e.c.","2015","2015","t","163","E","Estimated value"
"RFB","Fertilizers by Product","288","Ghana","5157","Agricultural Use","4008","Other nitrogenous fertilizers, n.e.c.","2016","2016","t","822","E","Estimated value"
"RFB","Fertilizers by Product","288","Ghana","5157","Agricultural Use","4008","Other nitrogenous fertilizers, n.e.c.","2017","2017","t","1327","E","Estimated value"
"RFB","Fertilizers by Product","288","Ghana","5157","Agricultural Use","4008","Other nitrogenous fertilizers, n.e.c.","2018","2018","t","273","E","Estimated value"
"RFB","Fertilizers by Product","288","Ghana","5157","Agricultural Use","4008","Other nitrogenous fertilizers, n.e.c.","2019","2019","t","295","E","Estimated value"
"RFB","Fertilizers by Product","288","Ghana","5157","Agricultural Use","4008","Other nitrogenous fertilizers, n.e.c.","2020","2020","t","3843","A","Official figure"
"RFB","Fertilizers by Product","288","Ghana","5157","Agricultural Use","4008","Other nitrogenous fertilizers, n.e.c.","2021","2021","t","4431","A","Official figure"
"RFB","Fertilizers by Product","288","Ghana","5157","Agricultural Use","4008","Other nitrogenous fertilizers, n.e.c.","2022","2022","t","1","A","Official figure"
"RFB","Fertilizers by Product","288","Ghana","5157","Agricultural Use","4014","Other phosphatic fertilizers, n.e.c.","2015","2015","t","0","A","Official figure"
"RFB","Fertilizers by Product","288","Ghana","5157","Agricultural Use","4014","Other phosphatic fertilizers, n.e.c.","2016","2016","t","0","A","Official figure"
"RFB","Fertilizers by Product","288","Ghana","5157","Agricultural Use","4014","Other phosphatic fertilizers, n.e.c.","2017","2017","t","1008","A","Official figure"
"RFB","Fertilizers by Product","288","Ghana","5157","Agricultural Use","4014","Other phosphatic fertilizers, n.e.c.","2018","2018","t","0","A","Official figure"
"RFB","Fertilizers by Product","288","Ghana","5157","Agricultural Use","4014","Other phosphatic fertilizers, n.e.c.","2019","2019","t","4189","A","Official figure"
"RFB","Fertilizers by Product","288","Ghana","5157","Agricultural Use","4014","Other phosphatic fertilizers, n.e.c.","2020","2020","t","9174","A","Official figure"
"RFB","Fertilizers by Product","288","Ghana","5157","Agricultural Use","4014","Other phosphatic fertilizers, n.e.c.","2021","2021","t","108","A","Official figure"
"RFB","Fertilizers by Product","288","Ghana","5157","Agricultural Use","4014","Other phosphatic fertilizers, n.e.c.","2022","2022","t","0","A","Official figure"
"RFB","Fertilizers by Product","288","Ghana","5157","Agricultural Use","4018","Other potassic fertilizers, n.e.c.","2015","2015","t","27","A","Official figure"
