Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01520.01","Cassava, fresh","2003","2003","kg/ha","10239.8","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01520.01","Cassava, fresh","2004","2004","kg/ha","10584.4","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01520.01","Cassava, fresh","2005","2005","kg/ha","10773.9","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01520.01","Cassava, fresh","2006","2006","kg/ha","11242.3","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01520.01","Cassava, fresh","2007","2007","kg/ha","10727.8","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01520.01","Cassava, fresh","2008","2008","kg/ha","11164.4","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01520.01","Cassava, fresh","2009","2009","kg/ha","11375.7","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01520.01","Cassava, fresh","2010","2010","kg/ha","11784.3","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01520.01","Cassava, fresh","2011","2011","kg/ha","11424","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01520.01","Cassava, fresh","2012","2012","kg/ha","9070.7","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01520.01","Cassava, fresh","2013","2013","kg/ha","8377.7","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01520.01","Cassava, fresh","2014","2014","kg/ha","8895.2","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01520.01","Cassava, fresh","2015","2015","kg/ha","8359.8","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01520.01","Cassava, fresh","2016","2016","kg/ha","9831.8","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01520.01","Cassava, fresh","2017","2017","kg/ha","9984.6","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01520.01","Cassava, fresh","2018","2018","kg/ha","10268.6","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01520.01","Cassava, fresh","2019","2019","kg/ha","7459.9","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01520.01","Cassava, fresh","2020","2020","kg/ha","7550","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01520.01","Cassava, fresh","2021","2021","kg/ha","7615.6","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01520.01","Cassava, fresh","2022","2022","kg/ha","7954","E","Estimated value",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01520.01","Cassava, fresh","2023","2023","kg/ha","8039","E","Estimated value",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01520.01","Cassava, fresh","2024","2024","kg/ha","7780.3","E","Estimated value",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01706","Cow peas, dry","2003","2003","kg/ha","393.5","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01706","Cow peas, dry","2004","2004","kg/ha","436","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01706","Cow peas, dry","2005","2005","kg/ha","449.2","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01706","Cow peas, dry","2006","2006","kg/ha","440.1","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01706","Cow peas, dry","2007","2007","kg/ha","432.7","E","Estimated value",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01706","Cow peas, dry","2008","2008","kg/ha","468.5","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01706","Cow peas, dry","2009","2009","kg/ha","486.5","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01706","Cow peas, dry","2010","2010","kg/ha","589.4","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01706","Cow peas, dry","2011","2011","kg/ha","447.3","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01706","Cow peas, dry","2012","2012","kg/ha","747.6","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01706","Cow peas, dry","2013","2013","kg/ha","711.6","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01706","Cow peas, dry","2014","2014","kg/ha","436.9","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01706","Cow peas, dry","2015","2015","kg/ha","481.3","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01706","Cow peas, dry","2016","2016","kg/ha","572.1","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01706","Cow peas, dry","2017","2017","kg/ha","538.8","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01706","Cow peas, dry","2018","2018","kg/ha","586.5","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01706","Cow peas, dry","2019","2019","kg/ha","601.5","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01706","Cow peas, dry","2020","2020","kg/ha","631.2","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01706","Cow peas, dry","2021","2021","kg/ha","559.2","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01706","Cow peas, dry","2022","2022","kg/ha","644.1","E","Estimated value",""
